0.00%,0.27%
77.51%,0.33%
79.03%,0.33%
70.55%,0.32%
74.97%,0.33%
76.22%,0.32%
84.30%,0.33%
137.26%,0.33%
243.96%,0.34%
244.37%,0.32%
208.40%,0.33%
247.94%,0.34%
258.33%,0.34%
254.15%,0.33%
323.34%,0.34%
366.47%,0.35%
365.84%,0.34%
369.59%,0.34%
371.45%,0.34%
363.46%,0.34%
361.84%,0.35%
316.08%,0.34%
84.17%,0.32%
141.75%,0.33%
84.80%,0.33%
157.46%,0.30%
84.68%,0.33%
84.75%,0.33%
246.63%,0.34%
257.41%,0.35%
175.92%,0.36%
240.53%,0.34%
248.09%,0.34%
248.01%,0.34%
244.67%,0.35%
366.86%,0.35%
372.70%,0.34%
374.27%,0.35%
380.62%,0.36%
367.32%,0.36%
377.93%,0.36%
305.16%,0.36%
210.28%,0.35%
0.00%,0.30%
0.00%,0.30%
