db-mongo,16.06%,0.30%
fiware-orion,62.84%,0.37%
nifi,135.41%,17.56%
db-mongo,16.77%,0.30%
fiware-orion,65.39%,0.37%
nifi,132.81%,17.57%
db-mongo,14.46%,0.30%
fiware-orion,63.95%,0.37%
nifi,148.12%,17.59%
db-mongo,19.93%,0.30%
fiware-orion,72.93%,0.37%
nifi,143.67%,17.60%
db-mongo,16.93%,0.30%
fiware-orion,64.27%,0.37%
nifi,146.23%,17.61%
db-mongo,16.59%,0.30%
fiware-orion,67.08%,0.37%
nifi,142.55%,17.63%
db-mongo,16.27%,0.30%
fiware-orion,58.71%,0.37%
nifi,198.37%,17.64%
db-mongo,16.49%,0.30%
fiware-orion,63.84%,0.37%
nifi,145.61%,17.65%
db-mongo,17.30%,0.30%
fiware-orion,67.71%,0.38%
nifi,142.04%,17.66%
db-mongo,18.39%,0.30%
fiware-orion,70.41%,0.38%
nifi,134.37%,17.68%
db-mongo,14.37%,0.30%
fiware-orion,57.25%,0.38%
nifi,139.15%,17.69%
db-mongo,16.97%,0.30%
fiware-orion,65.78%,0.38%
nifi,138.60%,17.70%
db-mongo,15.28%,0.30%
fiware-orion,60.05%,0.38%
nifi,157.28%,17.72%
db-mongo,15.78%,0.30%
fiware-orion,66.06%,0.37%
nifi,142.53%,17.74%
db-mongo,14.55%,0.30%
fiware-orion,117.13%,0.37%
nifi,196.42%,17.75%
db-mongo,14.77%,0.30%
fiware-orion,121.95%,0.38%
nifi,119.48%,17.76%
db-mongo,15.03%,0.30%
fiware-orion,126.42%,0.39%
nifi,126.42%,17.66%
db-mongo,16.95%,0.31%
fiware-orion,77.28%,0.39%
nifi,142.51%,17.67%
db-mongo,16.38%,0.31%
fiware-orion,70.19%,0.39%
nifi,147.08%,17.69%
db-mongo,16.65%,0.31%
fiware-orion,67.20%,0.39%
nifi,140.53%,17.70%
db-mongo,17.82%,0.31%
fiware-orion,71.18%,0.39%
nifi,136.74%,17.71%
db-mongo,13.97%,0.31%
fiware-orion,53.88%,0.39%
nifi,126.29%,17.73%
db-mongo,16.19%,0.31%
fiware-orion,86.84%,0.39%
nifi,124.82%,17.75%
db-mongo,17.25%,0.31%
fiware-orion,65.67%,0.39%
nifi,138.84%,17.76%
db-mongo,16.92%,0.31%
fiware-orion,65.30%,0.39%
nifi,132.72%,17.77%
db-mongo,18.14%,0.31%
fiware-orion,69.83%,0.39%
nifi,143.99%,17.78%
db-mongo,16.47%,0.31%
fiware-orion,81.58%,0.39%
nifi,157.98%,17.80%
db-mongo,16.86%,0.31%
fiware-orion,80.06%,0.40%
nifi,139.15%,17.82%
db-mongo,16.80%,0.31%
