0.00%,0.46%
82.54%,0.51%
82.93%,0.51%
82.32%,0.51%
82.94%,0.52%
82.29%,0.51%
83.56%,0.52%
191.46%,0.52%
242.74%,0.52%
242.55%,0.51%
242.24%,0.51%
241.86%,0.52%
245.46%,0.51%
216.71%,0.52%
252.21%,0.53%
375.26%,0.53%
365.79%,0.52%
370.69%,0.53%
376.59%,0.48%
321.99%,0.52%
366.14%,0.48%
284.97%,0.51%
84.49%,0.51%
83.87%,0.51%
86.35%,0.52%
85.10%,0.52%
62.49%,0.49%
81.63%,0.52%
242.77%,0.53%
198.95%,0.53%
245.98%,0.52%
244.97%,0.53%
247.59%,0.53%
173.44%,0.53%
254.04%,0.53%
363.46%,0.54%
383.68%,0.54%
384.63%,0.54%
385.48%,0.53%
383.70%,0.54%
292.28%,0.55%
383.65%,0.53%
166.37%,0.52%
81.95%,0.53%
0.00%,0.49%
0.00%,0.49%
0.00%,0.49%
0.00%,0.49%
0.00%,0.49%
