db-mongo,15.31%,0.31%
fiware-orion,68.22%,0.30%
nifi,130.63%,20.38%
db-mongo,17.35%,0.31%
fiware-orion,66.91%,0.29%
nifi,107.66%,20.40%
db-mongo,17.79%,0.31%
fiware-orion,69.93%,0.30%
nifi,125.65%,20.41%
db-mongo,17.49%,0.30%
fiware-orion,68.35%,0.30%
nifi,127.66%,20.42%
db-mongo,18.08%,0.30%
fiware-orion,69.56%,0.30%
nifi,135.86%,20.43%
db-mongo,17.75%,0.30%
fiware-orion,68.92%,0.30%
nifi,121.07%,20.45%
db-mongo,16.83%,0.30%
fiware-orion,67.88%,0.30%
nifi,129.94%,20.47%
db-mongo,17.26%,0.30%
fiware-orion,67.94%,0.30%
nifi,164.24%,20.48%
db-mongo,18.34%,0.30%
fiware-orion,68.50%,0.31%
nifi,131.18%,20.49%
db-mongo,17.73%,0.30%
fiware-orion,69.64%,0.31%
nifi,133.76%,20.50%
db-mongo,17.63%,0.30%
fiware-orion,68.24%,0.30%
nifi,188.00%,20.51%
db-mongo,15.40%,0.30%
fiware-orion,61.57%,0.30%
nifi,136.22%,20.53%
db-mongo,16.75%,0.30%
fiware-orion,66.45%,0.30%
nifi,126.99%,20.54%
db-mongo,15.07%,0.30%
fiware-orion,122.33%,0.31%
nifi,121.02%,20.55%
db-mongo,13.45%,0.30%
fiware-orion,112.12%,0.32%
nifi,115.58%,20.57%
db-mongo,14.66%,0.30%
fiware-orion,120.22%,0.32%
nifi,105.93%,20.58%
db-mongo,14.45%,0.30%
fiware-orion,67.63%,0.32%
nifi,114.54%,19.52%
db-mongo,15.38%,0.30%
fiware-orion,62.75%,0.32%
nifi,121.48%,19.53%
db-mongo,19.20%,0.30%
fiware-orion,71.74%,0.32%
nifi,133.30%,19.54%
db-mongo,16.25%,0.30%
fiware-orion,64.45%,0.32%
nifi,183.31%,19.55%
db-mongo,15.99%,0.30%
fiware-orion,66.31%,0.32%
nifi,125.83%,19.57%
db-mongo,16.76%,0.30%
fiware-orion,67.06%,0.32%
nifi,120.55%,19.58%
db-mongo,18.05%,0.30%
fiware-orion,65.20%,0.32%
nifi,132.44%,19.59%
db-mongo,17.86%,0.30%
fiware-orion,69.52%,0.32%
nifi,129.19%,19.60%
db-mongo,16.68%,0.30%
fiware-orion,65.05%,0.32%
nifi,175.88%,19.61%
db-mongo,17.57%,0.30%
fiware-orion,66.67%,0.32%
nifi,140.75%,19.62%
db-mongo,18.21%,0.30%
fiware-orion,71.12%,0.32%
nifi,141.83%,19.63%
db-mongo,18.40%,0.30%
fiware-orion,67.58%,0.32%
nifi,132.47%,19.65%
db-mongo,18.39%,0.30%
fiware-orion,71.33%,0.32%
nifi,123.57%,19.65%
db-mongo,17.44%,0.30%
fiware-orion,71.26%,0.32%
nifi,135.01%,19.67%
db-mongo,17.59%,0.30%
fiware-orion,70.02%,0.32%
nifi,133.34%,19.68%
db-mongo,14.18%,0.30%
fiware-orion,118.87%,0.33%
nifi,106.11%,19.69%
db-mongo,14.61%,0.30%
fiware-orion,121.92%,0.33%
nifi,131.49%,19.70%
db-mongo,14.72%,0.30%
fiware-orion,108.08%,0.33%
nifi,145.09%,18.58%
db-mongo,16.30%,0.30%
fiware-orion,74.39%,0.33%
nifi,130.76%,18.60%
db-mongo,18.06%,0.30%
fiware-orion,75.07%,0.33%
nifi,137.42%,18.61%
db-mongo,18.00%,0.30%
fiware-orion,70.99%,0.33%
nifi,137.93%,18.61%
db-mongo,17.67%,0.30%
fiware-orion,67.89%,0.33%
nifi,135.53%,18.63%
db-mongo,16.03%,0.30%
fiware-orion,72.03%,0.33%
nifi,136.30%,18.64%
db-mongo,18.05%,0.30%
fiware-orion,70.96%,0.33%
nifi,132.26%,18.65%
db-mongo,16.77%,0.30%
fiware-orion,66.25%,0.34%
nifi,141.57%,18.66%
db-mongo,16.45%,0.30%
fiware-orion,66.95%,0.33%
nifi,158.47%,18.68%
db-mongo,17.15%,0.30%
fiware-orion,71.54%,0.33%
nifi,145.19%,18.69%
db-mongo,16.71%,0.30%
fiware-orion,65.81%,0.34%
