db-mongo,6.21%,0.30%
fiware-orion,23.92%,0.09%
nifi,72.21%,15.86%
db-mongo,7.23%,0.30%
fiware-orion,27.40%,0.11%
nifi,61.72%,15.87%
db-mongo,7.94%,0.30%
fiware-orion,30.71%,0.10%
nifi,64.92%,15.88%
db-mongo,7.05%,0.30%
fiware-orion,24.52%,0.11%
nifi,70.14%,15.89%
db-mongo,5.75%,0.30%
fiware-orion,21.86%,0.10%
nifi,63.20%,15.90%
db-mongo,4.78%,0.30%
fiware-orion,18.11%,0.10%
nifi,65.56%,15.90%
db-mongo,5.77%,0.30%
fiware-orion,21.82%,0.10%
nifi,75.53%,15.91%
db-mongo,6.77%,0.30%
fiware-orion,22.58%,0.10%
nifi,69.25%,15.94%
db-mongo,5.26%,0.30%
fiware-orion,17.87%,0.11%
nifi,72.16%,15.97%
db-mongo,5.91%,0.30%
fiware-orion,22.68%,0.11%
nifi,70.07%,15.98%
db-mongo,5.25%,0.30%
fiware-orion,20.39%,0.11%
nifi,72.91%,15.94%
db-mongo,4.87%,0.30%
fiware-orion,21.05%,0.11%
nifi,81.57%,15.98%
db-mongo,7.87%,0.30%
fiware-orion,30.93%,0.11%
nifi,70.12%,15.93%
db-mongo,6.35%,0.30%
fiware-orion,23.50%,0.11%
nifi,80.26%,15.93%
db-mongo,7.09%,0.30%
fiware-orion,26.47%,0.11%
nifi,79.31%,15.95%
db-mongo,6.65%,0.30%
fiware-orion,23.87%,0.11%
nifi,72.84%,15.96%
db-mongo,4.09%,0.30%
fiware-orion,14.89%,0.11%
nifi,76.26%,15.97%
db-mongo,6.22%,0.30%
fiware-orion,23.75%,0.11%
nifi,75.04%,15.98%
db-mongo,6.37%,0.30%
fiware-orion,27.40%,0.11%
nifi,80.24%,15.99%
db-mongo,5.47%,0.30%
fiware-orion,20.53%,0.11%
nifi,67.44%,15.99%
db-mongo,5.56%,0.30%
fiware-orion,21.04%,0.11%
nifi,68.31%,16.00%
db-mongo,4.94%,0.30%
fiware-orion,19.24%,0.11%
nifi,69.31%,16.01%
db-mongo,7.97%,0.30%
fiware-orion,25.45%,0.11%
nifi,73.43%,16.02%
db-mongo,6.67%,0.30%
fiware-orion,24.97%,0.11%
nifi,79.34%,16.03%
db-mongo,7.05%,0.30%
fiware-orion,27.37%,0.11%
nifi,104.25%,16.05%
db-mongo,6.58%,0.30%
fiware-orion,25.06%,0.11%
nifi,83.49%,16.05%
db-mongo,6.58%,0.30%
fiware-orion,21.34%,0.11%
nifi,68.46%,16.06%
db-mongo,6.18%,0.30%
fiware-orion,30.07%,0.11%
nifi,85.22%,16.07%
db-mongo,7.85%,0.30%
fiware-orion,33.61%,0.12%
nifi,86.98%,16.08%
db-mongo,9.31%,0.30%
fiware-orion,27.65%,0.11%
nifi,83.32%,16.09%
db-mongo,5.98%,0.30%
fiware-orion,22.27%,0.11%
nifi,77.54%,16.09%
db-mongo,6.83%,0.30%
fiware-orion,25.56%,0.11%
nifi,80.72%,16.11%
db-mongo,7.13%,0.30%
fiware-orion,26.86%,0.12%
nifi,73.25%,16.12%
db-mongo,5.72%,0.30%
fiware-orion,20.63%,0.12%
nifi,87.59%,16.13%
db-mongo,6.06%,0.30%
fiware-orion,23.34%,0.11%
nifi,76.34%,16.14%
db-mongo,9.13%,0.30%
fiware-orion,34.73%,0.11%
nifi,81.24%,16.14%
db-mongo,6.80%,0.30%
fiware-orion,25.49%,0.11%
nifi,83.52%,16.15%
db-mongo,8.42%,0.30%
fiware-orion,24.32%,0.11%
nifi,105.68%,16.17%
db-mongo,6.29%,0.30%
fiware-orion,24.10%,0.12%
nifi,72.14%,16.18%
db-mongo,8.25%,0.30%
fiware-orion,22.77%,0.12%
nifi,83.18%,16.19%
db-mongo,8.29%,0.30%
fiware-orion,27.05%,0.12%
nifi,87.36%,16.20%
db-mongo,7.68%,0.30%
fiware-orion,28.97%,0.11%
nifi,77.63%,16.21%
db-mongo,7.13%,0.30%
fiware-orion,24.79%,0.11%
nifi,76.30%,16.23%
db-mongo,7.02%,0.30%
fiware-orion,26.80%,0.11%
nifi,79.10%,16.23%
db-mongo,7.49%,0.30%
fiware-orion,29.26%,0.11%
nifi,77.33%,16.24%
db-mongo,7.21%,0.30%
fiware-orion,27.24%,0.12%
nifi,70.67%,16.25%
db-mongo,8.41%,0.30%
fiware-orion,32.21%,0.12%
nifi,79.30%,16.26%
db-mongo,6.17%,0.30%
fiware-orion,23.02%,0.12%
nifi,85.68%,16.26%
db-mongo,6.84%,0.30%
fiware-orion,25.87%,0.11%
nifi,73.48%,16.28%
db-mongo,7.18%,0.30%
fiware-orion,27.25%,0.12%
nifi,86.00%,16.29%
db-mongo,6.69%,0.30%
fiware-orion,23.35%,0.11%
nifi,86.04%,16.30%
db-mongo,9.35%,0.30%
fiware-orion,36.03%,0.12%
nifi,117.82%,16.31%
db-mongo,7.12%,0.30%
fiware-orion,27.17%,0.11%
nifi,73.26%,16.31%
db-mongo,6.87%,0.30%
fiware-orion,30.61%,0.11%
nifi,79.75%,16.33%
db-mongo,7.02%,0.30%
fiware-orion,26.22%,0.12%
nifi,76.19%,16.33%
db-mongo,10.34%,0.30%
fiware-orion,39.85%,0.12%
nifi,96.13%,16.34%
db-mongo,11.94%,0.30%
fiware-orion,40.55%,0.12%
nifi,82.14%,16.35%
db-mongo,6.49%,0.30%
fiware-orion,23.98%,0.11%
nifi,95.56%,16.36%
db-mongo,7.18%,0.30%
fiware-orion,26.23%,0.12%
nifi,77.58%,16.37%
db-mongo,7.58%,0.30%
fiware-orion,28.73%,0.12%
nifi,84.92%,16.38%
db-mongo,9.74%,0.30%
fiware-orion,36.24%,0.12%
nifi,75.95%,16.39%
db-mongo,7.36%,0.30%
fiware-orion,27.07%,0.12%
nifi,74.57%,16.40%
db-mongo,8.22%,0.30%
fiware-orion,31.21%,0.11%
nifi,75.87%,16.41%
db-mongo,7.53%,0.30%
fiware-orion,28.77%,0.12%
nifi,73.83%,16.42%
db-mongo,6.06%,0.30%
fiware-orion,23.79%,0.11%
nifi,98.67%,16.42%
db-mongo,7.65%,0.30%
fiware-orion,29.64%,0.13%
nifi,81.71%,16.45%
