mongo-db,4.09%,0.30%
orion-ld,15.44%,0.16%
nifi,58.01%,18.32%
mongo-db,4.29%,0.30%
orion-ld,15.01%,0.16%
nifi,55.75%,18.32%
mongo-db,4.79%,0.30%
orion-ld,18.95%,0.16%
nifi,66.49%,18.32%
mongo-db,5.43%,0.30%
orion-ld,20.95%,0.16%
nifi,57.49%,18.33%
mongo-db,3.24%,0.30%
orion-ld,12.23%,0.16%
nifi,48.97%,18.33%
mongo-db,4.27%,0.30%
orion-ld,16.27%,0.16%
nifi,52.42%,18.33%
mongo-db,3.26%,0.30%
orion-ld,12.57%,0.17%
nifi,49.05%,18.33%
mongo-db,6.05%,0.30%
orion-ld,11.19%,0.16%
nifi,49.66%,18.33%
mongo-db,5.26%,0.30%
orion-ld,19.68%,0.16%
nifi,47.75%,18.34%
mongo-db,3.92%,0.30%
orion-ld,14.26%,0.16%
nifi,50.17%,18.34%
mongo-db,3.50%,0.30%
orion-ld,11.63%,0.16%
nifi,41.81%,18.34%
mongo-db,4.18%,0.30%
orion-ld,16.05%,0.16%
nifi,53.10%,18.34%
mongo-db,3.55%,0.30%
orion-ld,13.91%,0.17%
nifi,44.86%,18.34%
mongo-db,2.68%,0.30%
orion-ld,10.00%,0.17%
nifi,47.30%,18.35%
mongo-db,4.61%,0.30%
orion-ld,11.43%,0.16%
nifi,49.06%,18.35%
mongo-db,6.65%,0.30%
orion-ld,21.06%,0.17%
nifi,71.14%,18.35%
mongo-db,2.48%,0.30%
orion-ld,10.88%,0.16%
nifi,105.12%,18.36%
mongo-db,3.07%,0.30%
orion-ld,15.86%,0.16%
nifi,54.48%,18.36%
mongo-db,3.41%,0.30%
orion-ld,12.57%,0.17%
nifi,57.76%,18.36%
mongo-db,4.43%,0.30%
orion-ld,15.85%,0.16%
nifi,56.78%,18.36%
mongo-db,3.57%,0.30%
orion-ld,12.51%,0.17%
nifi,55.43%,18.36%
mongo-db,4.17%,0.30%
orion-ld,14.47%,0.16%
nifi,53.65%,18.37%
mongo-db,4.13%,0.30%
orion-ld,15.20%,0.16%
nifi,50.84%,18.37%
mongo-db,4.34%,0.30%
orion-ld,16.77%,0.16%
nifi,61.36%,18.37%
mongo-db,4.54%,0.30%
orion-ld,17.55%,0.17%
nifi,62.17%,18.37%
mongo-db,4.90%,0.30%
orion-ld,19.46%,0.17%
nifi,64.43%,18.37%
mongo-db,5.45%,0.30%
orion-ld,14.93%,0.17%
nifi,61.22%,18.38%
mongo-db,3.65%,0.30%
orion-ld,13.40%,0.17%
nifi,66.80%,18.38%
mongo-db,4.66%,0.30%
orion-ld,17.83%,0.16%
nifi,57.55%,18.38%
mongo-db,4.66%,0.30%
orion-ld,15.35%,0.17%
nifi,57.73%,18.38%
mongo-db,4.13%,0.30%
orion-ld,15.17%,0.17%
nifi,66.34%,18.38%
mongo-db,4.76%,0.30%
orion-ld,17.89%,0.17%
nifi,58.30%,18.39%
mongo-db,4.64%,0.30%
orion-ld,17.07%,0.16%
nifi,50.06%,18.39%
mongo-db,5.50%,0.30%
orion-ld,14.34%,0.17%
nifi,69.30%,18.39%
mongo-db,5.39%,0.30%
orion-ld,20.79%,0.17%
nifi,67.49%,18.39%
