db-mongo,17.97%,0.30%
fiware-orion,71.54%,0.14%
nifi,99.53%,16.71%
db-mongo,13.64%,0.30%
fiware-orion,53.27%,0.15%
nifi,107.71%,16.72%
db-mongo,14.01%,0.30%
fiware-orion,48.98%,0.15%
nifi,116.04%,16.76%
db-mongo,14.19%,0.30%
fiware-orion,49.44%,0.15%
nifi,133.89%,16.78%
db-mongo,13.36%,0.30%
fiware-orion,51.23%,0.15%
nifi,122.85%,16.79%
db-mongo,12.41%,0.30%
fiware-orion,45.88%,0.15%
nifi,103.22%,16.80%
db-mongo,12.78%,0.30%
fiware-orion,45.12%,0.15%
nifi,110.31%,16.82%
db-mongo,9.11%,0.30%
fiware-orion,35.50%,0.15%
nifi,157.68%,16.85%
db-mongo,11.68%,0.30%
fiware-orion,45.46%,0.15%
nifi,104.82%,16.87%
db-mongo,12.13%,0.30%
fiware-orion,52.35%,0.15%
nifi,117.82%,16.91%
db-mongo,13.09%,0.30%
fiware-orion,45.57%,0.15%
nifi,102.35%,16.93%
db-mongo,19.00%,0.30%
fiware-orion,75.70%,0.15%
nifi,115.77%,16.94%
db-mongo,13.02%,0.30%
fiware-orion,50.53%,0.15%
nifi,107.19%,16.96%
db-mongo,14.78%,0.30%
fiware-orion,57.31%,0.15%
nifi,113.11%,16.97%
db-mongo,12.46%,0.30%
fiware-orion,39.33%,0.15%
nifi,150.80%,16.99%
db-mongo,11.55%,0.30%
fiware-orion,44.19%,0.15%
nifi,137.86%,17.01%
db-mongo,13.66%,0.30%
fiware-orion,53.44%,0.15%
nifi,132.04%,17.02%
db-mongo,14.39%,0.30%
fiware-orion,56.25%,0.15%
nifi,123.38%,17.04%
db-mongo,12.42%,0.30%
fiware-orion,59.06%,0.16%
nifi,123.16%,17.07%
db-mongo,13.70%,0.30%
fiware-orion,52.33%,0.15%
nifi,113.69%,17.09%
db-mongo,14.57%,0.30%
fiware-orion,62.37%,0.16%
nifi,130.71%,17.10%
db-mongo,14.81%,0.30%
fiware-orion,36.32%,0.15%
nifi,124.53%,17.12%
db-mongo,14.26%,0.30%
fiware-orion,55.94%,0.16%
nifi,127.05%,17.13%
db-mongo,15.84%,0.30%
fiware-orion,50.97%,0.16%
nifi,110.95%,17.15%
db-mongo,17.63%,0.30%
fiware-orion,68.77%,0.16%
nifi,142.43%,17.17%
db-mongo,13.26%,0.30%
fiware-orion,51.73%,0.15%
nifi,138.44%,17.18%
db-mongo,12.81%,0.30%
fiware-orion,55.59%,0.16%
nifi,120.25%,17.21%
db-mongo,14.25%,0.30%
fiware-orion,55.09%,0.16%
nifi,122.85%,17.23%
db-mongo,17.60%,0.30%
fiware-orion,68.10%,0.16%
nifi,131.89%,17.25%
db-mongo,11.52%,0.30%
fiware-orion,43.66%,0.16%
nifi,128.19%,17.27%
db-mongo,16.13%,0.30%
fiware-orion,62.07%,0.16%
nifi,134.85%,17.28%
db-mongo,18.08%,0.30%
fiware-orion,70.03%,0.16%
nifi,121.18%,17.30%
db-mongo,16.77%,0.30%
fiware-orion,45.90%,0.15%
nifi,141.95%,17.32%
db-mongo,14.75%,0.30%
fiware-orion,54.36%,0.16%
nifi,117.06%,17.33%
db-mongo,14.39%,0.30%
fiware-orion,55.90%,0.16%
nifi,139.63%,17.35%
db-mongo,13.34%,0.30%
fiware-orion,51.72%,0.17%
nifi,127.52%,17.39%
db-mongo,15.75%,0.30%
fiware-orion,50.46%,0.17%
nifi,121.49%,17.41%
db-mongo,14.97%,0.30%
fiware-orion,58.46%,0.17%
nifi,125.39%,17.42%
db-mongo,15.72%,0.30%
fiware-orion,54.13%,0.17%
nifi,113.01%,17.44%
db-mongo,16.66%,0.30%
fiware-orion,66.01%,0.17%
nifi,122.18%,17.45%
db-mongo,13.26%,0.30%
fiware-orion,57.28%,0.17%
nifi,124.12%,17.47%
db-mongo,9.07%,0.30%
fiware-orion,34.51%,0.17%
nifi,109.46%,17.49%
db-mongo,13.76%,0.30%
fiware-orion,53.49%,0.17%
nifi,116.43%,17.52%
db-mongo,13.83%,0.30%
fiware-orion,53.44%,0.17%
nifi,126.66%,17.53%
db-mongo,12.61%,0.30%
fiware-orion,49.10%,0.17%
nifi,113.86%,17.57%
db-mongo,14.57%,0.30%
fiware-orion,56.46%,0.17%
nifi,105.44%,17.58%
db-mongo,15.18%,0.30%
fiware-orion,59.13%,0.17%
nifi,133.93%,17.59%
db-mongo,10.67%,0.30%
fiware-orion,40.08%,0.17%
nifi,118.62%,17.61%
db-mongo,14.33%,0.30%
fiware-orion,56.72%,0.17%
nifi,3.63%,17.61%
db-mongo,11.09%,0.30%
fiware-orion,26.22%,0.17%
nifi,136.07%,17.63%
db-mongo,11.73%,0.30%
fiware-orion,44.43%,0.17%
nifi,93.24%,17.65%
db-mongo,11.49%,0.30%
fiware-orion,58.92%,0.17%
nifi,128.00%,17.68%
db-mongo,11.27%,0.30%
fiware-orion,44.48%,0.18%
nifi,117.24%,17.70%
db-mongo,12.71%,0.30%
fiware-orion,47.12%,0.17%
nifi,109.93%,17.72%
db-mongo,0.27%,0.30%
fiware-orion,0.00%,0.17%
nifi,3.52%,17.72%
db-mongo,0.27%,0.30%
fiware-orion,0.00%,0.17%
nifi,3.13%,17.72%
db-mongo,19.34%,0.30%
fiware-orion,75.55%,0.17%
nifi,115.66%,17.73%
db-mongo,11.02%,0.30%
fiware-orion,43.93%,0.18%
nifi,144.14%,17.75%
db-mongo,14.44%,0.30%
fiware-orion,53.31%,0.17%
nifi,114.45%,17.76%
db-mongo,14.70%,0.30%
fiware-orion,57.85%,0.18%
nifi,107.64%,17.78%
db-mongo,15.07%,0.30%
fiware-orion,60.17%,0.18%
nifi,106.37%,17.79%
db-mongo,15.87%,0.30%
fiware-orion,62.47%,0.18%
nifi,111.88%,17.82%
db-mongo,12.41%,0.30%
fiware-orion,48.42%,0.18%
nifi,111.52%,17.83%
db-mongo,12.51%,0.30%
fiware-orion,48.80%,0.18%
nifi,105.19%,17.85%
db-mongo,14.62%,0.30%
fiware-orion,32.92%,0.18%
nifi,145.42%,17.87%
db-mongo,16.94%,0.30%
fiware-orion,66.92%,0.18%
nifi,110.90%,17.88%
db-mongo,14.70%,0.30%
fiware-orion,53.12%,0.18%
nifi,116.76%,17.90%
db-mongo,11.95%,0.30%
fiware-orion,47.32%,0.17%
nifi,113.89%,17.91%
db-mongo,12.89%,0.30%
fiware-orion,49.89%,0.18%
nifi,106.49%,17.93%
db-mongo,12.54%,0.30%
fiware-orion,48.47%,0.18%
nifi,106.24%,17.95%
db-mongo,10.95%,0.30%
fiware-orion,42.86%,0.18%
nifi,111.78%,17.98%
db-mongo,14.68%,0.30%
fiware-orion,57.08%,0.19%
nifi,152.85%,18.00%
db-mongo,13.44%,0.30%
fiware-orion,52.62%,0.19%
nifi,111.13%,18.02%
db-mongo,15.60%,0.30%
fiware-orion,49.39%,0.19%
nifi,126.52%,18.04%
db-mongo,14.60%,0.30%
fiware-orion,55.10%,0.19%
nifi,121.42%,18.05%
db-mongo,16.63%,0.30%
fiware-orion,52.47%,0.19%
nifi,111.24%,18.06%
db-mongo,16.21%,0.30%
fiware-orion,64.85%,0.19%
nifi,127.72%,18.14%
db-mongo,13.56%,0.30%
fiware-orion,53.63%,0.19%
nifi,117.28%,18.15%
db-mongo,12.45%,0.30%
fiware-orion,48.85%,0.19%
nifi,115.59%,18.17%
db-mongo,14.32%,0.30%
fiware-orion,71.10%,0.19%
nifi,133.91%,18.18%
db-mongo,15.77%,0.30%
fiware-orion,61.55%,0.19%
nifi,112.33%,18.18%
db-mongo,15.38%,0.30%
fiware-orion,60.25%,0.19%
nifi,137.93%,18.19%
db-mongo,15.93%,0.30%
fiware-orion,62.76%,0.19%
nifi,126.33%,18.20%
db-mongo,18.04%,0.30%
fiware-orion,52.43%,0.19%
nifi,139.17%,18.21%
db-mongo,12.55%,0.30%
fiware-orion,48.91%,0.20%
nifi,114.15%,18.22%
