0.00%,0.30%
85.29%,0.36%
87.00%,0.36%
84.88%,0.36%
84.97%,0.35%
84.89%,0.36%
84.76%,0.35%
238.55%,0.37%
245.34%,0.36%
238.56%,0.37%
234.64%,0.37%
247.14%,0.37%
162.01%,0.37%
251.42%,0.37%
358.88%,0.34%
363.45%,0.37%
356.58%,0.37%
367.59%,0.38%
358.57%,0.38%
371.17%,0.37%
358.34%,0.39%
354.82%,0.36%
81.19%,0.35%
85.00%,0.32%
80.11%,0.35%
85.02%,0.36%
86.34%,0.37%
84.66%,0.36%
251.10%,0.38%
239.86%,0.38%
247.77%,0.37%
216.73%,0.38%
147.44%,0.34%
248.19%,0.38%
248.20%,0.38%
367.78%,0.39%
369.57%,0.38%
372.31%,0.39%
367.69%,0.39%
387.17%,0.39%
333.33%,0.38%
325.64%,0.38%
0.00%,0.33%
