5.29%,16.84%
188.38%,16.84%
188.12%,16.85%
188.97%,16.84%
188.30%,16.85%
178.97%,16.85%
190.69%,16.85%
376.80%,16.85%
379.69%,16.85%
394.70%,16.85%
381.74%,16.85%
377.51%,16.85%
392.67%,16.85%
564.35%,16.85%
544.66%,16.85%
553.52%,16.86%
552.55%,16.86%
542.65%,16.86%
545.79%,16.86%
544.48%,16.86%
539.10%,16.86%
382.21%,16.86%
175.96%,16.86%
161.07%,16.86%
155.08%,16.86%
159.20%,16.86%
153.06%,16.86%
153.08%,16.86%
191.08%,16.86%
283.65%,16.86%
360.94%,16.86%
379.20%,16.86%
374.47%,16.86%
373.18%,16.86%
395.76%,16.86%
499.96%,16.87%
561.28%,16.87%
591.62%,16.87%
551.53%,16.87%
524.95%,16.87%
531.22%,16.87%
582.41%,16.87%
260.26%,16.86%
23.07%,16.86%
