scorpio,75.93%,22.93%
kafka,23.16%,5.83%
postgres,20.79%,1.53%
nifi,63.86%,6.69%
scorpio,85.39%,23.01%
kafka,24.03%,5.84%
postgres,21.71%,1.54%
nifi,52.16%,6.69%
scorpio,76.12%,23.01%
kafka,35.35%,5.84%
postgres,24.24%,1.55%
nifi,56.00%,6.70%
scorpio,109.68%,23.01%
kafka,34.44%,5.85%
postgres,31.63%,1.55%
nifi,61.86%,6.71%
scorpio,92.84%,23.10%
kafka,22.42%,5.86%
postgres,20.51%,1.58%
nifi,61.59%,6.72%
scorpio,76.45%,23.10%
kafka,23.18%,5.86%
postgres,21.15%,1.59%
nifi,66.64%,6.72%
scorpio,118.72%,23.20%
kafka,27.63%,5.87%
postgres,34.83%,1.81%
nifi,63.42%,6.74%
scorpio,85.26%,23.36%
kafka,24.07%,5.88%
postgres,21.74%,1.61%
nifi,59.45%,6.75%
scorpio,76.98%,23.31%
kafka,23.62%,5.88%
postgres,21.81%,1.62%
nifi,68.53%,6.76%
scorpio,70.40%,23.31%
kafka,34.35%,5.89%
postgres,23.55%,1.63%
nifi,63.75%,6.77%
scorpio,77.72%,23.34%
kafka,23.77%,5.89%
postgres,22.28%,1.63%
nifi,66.82%,6.78%
scorpio,91.34%,23.34%
kafka,26.18%,5.90%
postgres,24.77%,1.64%
nifi,74.04%,6.79%
scorpio,77.16%,23.34%
kafka,22.77%,5.91%
postgres,21.39%,1.65%
nifi,62.13%,6.79%
scorpio,158.56%,23.34%
kafka,26.86%,5.91%
postgres,24.02%,1.64%
nifi,70.17%,6.81%
scorpio,155.15%,23.34%
kafka,25.69%,5.92%
postgres,22.28%,1.66%
nifi,62.34%,6.82%
scorpio,180.90%,23.36%
kafka,29.00%,5.93%
postgres,26.51%,1.68%
nifi,61.02%,6.83%
scorpio,123.32%,23.36%
kafka,28.46%,5.93%
postgres,24.60%,1.68%
nifi,130.16%,6.85%
scorpio,107.55%,23.36%
kafka,32.52%,5.94%
postgres,30.27%,1.69%
nifi,61.61%,6.86%
scorpio,79.89%,23.40%
kafka,24.23%,5.95%
postgres,22.06%,1.70%
nifi,65.18%,6.87%
scorpio,77.41%,23.40%
kafka,24.01%,5.95%
postgres,21.60%,1.71%
nifi,61.70%,6.87%
scorpio,84.88%,23.40%
kafka,24.63%,6.07%
postgres,22.68%,1.72%
nifi,61.23%,6.88%
scorpio,77.57%,23.40%
kafka,23.80%,6.08%
postgres,21.90%,1.74%
nifi,59.23%,6.90%
scorpio,77.31%,23.40%
kafka,23.85%,6.08%
postgres,21.12%,1.75%
nifi,61.52%,6.91%
scorpio,83.39%,23.40%
kafka,24.57%,6.09%
postgres,32.53%,1.97%
nifi,64.39%,6.92%
scorpio,90.48%,23.40%
kafka,26.43%,6.10%
postgres,25.41%,1.77%
nifi,63.74%,6.93%
scorpio,80.83%,23.41%
kafka,23.70%,6.11%
postgres,22.83%,1.78%
nifi,64.43%,6.94%
scorpio,84.15%,23.41%
kafka,23.76%,6.11%
postgres,22.44%,1.78%
nifi,66.55%,6.94%
scorpio,79.22%,23.41%
kafka,23.62%,6.12%
postgres,23.82%,1.79%
nifi,66.18%,6.95%
scorpio,83.89%,23.41%
kafka,23.71%,6.13%
postgres,22.21%,1.80%
nifi,68.54%,6.96%
scorpio,96.69%,23.41%
kafka,28.88%,6.14%
postgres,26.61%,1.80%
nifi,100.32%,6.97%
scorpio,167.01%,23.41%
kafka,27.67%,6.14%
postgres,25.18%,1.81%
nifi,59.00%,6.98%
scorpio,144.64%,23.41%
kafka,24.48%,6.15%
postgres,25.62%,1.83%
nifi,63.28%,6.99%
scorpio,175.81%,23.41%
kafka,28.35%,6.16%
postgres,25.19%,1.84%
nifi,67.41%,7.01%
scorpio,168.08%,23.41%
kafka,27.61%,6.16%
postgres,24.74%,1.84%
nifi,84.87%,7.01%
scorpio,105.03%,23.41%
kafka,30.33%,6.17%
postgres,29.85%,1.84%
nifi,65.72%,7.02%
scorpio,80.69%,23.41%
kafka,24.14%,6.18%
postgres,22.58%,1.84%
nifi,60.62%,7.03%
scorpio,79.83%,23.41%
kafka,25.02%,6.18%
postgres,23.99%,1.84%
nifi,63.20%,7.04%
scorpio,83.73%,23.41%
kafka,24.47%,6.19%
postgres,22.98%,1.84%
nifi,55.20%,7.04%
scorpio,86.10%,23.41%
kafka,23.65%,6.19%
postgres,33.14%,1.83%
nifi,65.85%,7.05%
scorpio,8.46%,23.41%
kafka,4.01%,6.20%
postgres,1.03%,1.83%
nifi,26.92%,7.06%
scorpio,5.98%,23.41%
kafka,3.76%,6.21%
postgres,0.10%,1.84%
nifi,3.25%,7.06%
scorpio,95.94%,23.43%
kafka,26.83%,6.29%
postgres,35.27%,1.85%
nifi,60.24%,7.07%
scorpio,58.70%,23.43%
kafka,15.93%,6.40%
postgres,17.10%,1.84%
nifi,38.75%,7.08%
scorpio,68.82%,23.43%
kafka,15.95%,6.40%
postgres,15.52%,1.84%
nifi,64.87%,7.09%
scorpio,27.90%,23.43%
kafka,9.75%,6.40%
postgres,7.65%,1.84%
nifi,40.61%,7.09%
scorpio,57.24%,23.43%
kafka,15.41%,6.40%
postgres,17.15%,1.84%
nifi,72.44%,7.09%
scorpio,140.35%,23.43%
kafka,41.00%,6.43%
postgres,40.14%,1.85%
nifi,65.82%,7.10%
scorpio,150.89%,23.46%
kafka,47.86%,6.44%
postgres,43.38%,1.86%
nifi,78.19%,7.11%
scorpio,140.23%,23.46%
kafka,40.82%,6.46%
postgres,43.23%,1.86%
nifi,64.56%,7.13%
scorpio,143.26%,23.46%
kafka,40.17%,6.47%
postgres,41.24%,1.88%
nifi,61.68%,7.15%
scorpio,133.39%,23.46%
kafka,42.38%,6.48%
postgres,39.90%,1.89%
nifi,69.25%,7.17%
scorpio,205.31%,23.51%
kafka,42.34%,6.49%
postgres,40.04%,1.89%
nifi,62.52%,7.18%
scorpio,249.44%,23.50%
kafka,50.41%,6.50%
postgres,50.18%,1.89%
nifi,78.84%,7.19%
scorpio,113.80%,23.50%
kafka,39.37%,6.55%
postgres,24.40%,1.89%
nifi,62.02%,7.20%
scorpio,81.86%,23.51%
kafka,25.64%,6.87%
postgres,29.71%,1.89%
nifi,60.50%,7.22%
scorpio,97.83%,23.50%
kafka,25.52%,6.88%
postgres,23.86%,1.88%
nifi,69.41%,7.23%
scorpio,159.54%,23.51%
kafka,32.20%,6.88%
postgres,32.25%,1.91%
nifi,58.43%,7.25%
scorpio,166.50%,23.50%
kafka,26.70%,6.89%
postgres,25.23%,1.99%
nifi,107.00%,7.26%
scorpio,166.72%,23.53%
kafka,28.36%,6.89%
postgres,56.09%,2.13%
nifi,140.90%,7.27%
scorpio,130.82%,23.53%
kafka,27.03%,6.90%
postgres,23.17%,1.91%
nifi,54.98%,7.28%
scorpio,141.71%,23.53%
kafka,35.68%,6.91%
postgres,25.60%,1.91%
nifi,54.95%,7.28%
scorpio,181.57%,23.53%
kafka,29.21%,6.92%
postgres,27.70%,1.91%
nifi,86.52%,7.30%
scorpio,145.72%,23.53%
kafka,26.49%,6.92%
postgres,24.32%,1.91%
nifi,55.33%,7.30%
scorpio,147.28%,23.53%
kafka,29.94%,6.93%
postgres,27.72%,1.91%
nifi,67.41%,7.31%
scorpio,134.87%,23.53%
kafka,39.85%,6.94%
postgres,40.69%,1.91%
nifi,58.30%,7.33%
scorpio,88.19%,23.55%
kafka,27.04%,6.94%
postgres,24.34%,1.91%
nifi,65.24%,7.34%
scorpio,87.51%,23.55%
kafka,26.38%,6.95%
postgres,25.05%,1.91%
nifi,58.14%,7.35%
scorpio,97.15%,23.55%
kafka,29.47%,6.95%
postgres,33.15%,1.91%
nifi,65.99%,7.36%
scorpio,90.03%,23.55%
kafka,26.30%,6.96%
postgres,24.83%,1.92%
nifi,59.84%,7.37%
scorpio,113.81%,23.56%
kafka,32.81%,6.97%
postgres,30.60%,1.92%
nifi,58.14%,7.38%
scorpio,87.15%,23.56%
kafka,25.78%,6.98%
postgres,30.47%,1.92%
nifi,56.78%,7.39%
scorpio,86.25%,23.56%
kafka,25.96%,6.99%
postgres,25.00%,1.92%
nifi,68.03%,7.40%
scorpio,87.85%,23.56%
kafka,26.48%,6.99%
postgres,25.12%,1.92%
nifi,63.69%,7.41%
scorpio,89.35%,23.56%
kafka,27.21%,7.00%
postgres,26.67%,1.94%
nifi,59.39%,7.42%
scorpio,100.47%,23.56%
kafka,35.50%,7.00%
postgres,33.26%,2.02%
nifi,71.15%,7.44%
scorpio,88.70%,23.56%
kafka,33.93%,7.04%
postgres,32.40%,2.24%
nifi,63.79%,7.44%
scorpio,187.03%,23.56%
kafka,32.32%,7.05%
postgres,36.36%,2.03%
nifi,69.63%,7.45%
scorpio,150.34%,23.56%
kafka,26.84%,7.05%
postgres,24.42%,2.03%
nifi,61.39%,7.46%
scorpio,167.86%,23.56%
kafka,30.21%,7.06%
postgres,28.21%,2.03%
nifi,55.44%,7.47%
scorpio,135.61%,23.56%
kafka,27.87%,7.07%
postgres,25.39%,2.03%
nifi,60.11%,7.47%
