20.29%,16.88%
115.25%,16.89%
146.75%,16.89%
145.04%,16.89%
135.07%,16.89%
114.26%,16.89%
134.22%,16.89%
141.90%,16.89%
158.23%,16.89%
141.41%,16.89%
144.97%,16.89%
107.14%,16.89%
140.28%,16.89%
149.73%,16.89%
124.70%,16.89%
142.61%,16.89%
178.84%,16.89%
182.01%,16.89%
175.35%,16.90%
182.05%,16.90%
185.66%,16.90%
156.79%,16.89%
143.29%,16.90%
149.50%,16.89%
168.52%,16.90%
118.80%,16.89%
170.59%,16.90%
146.35%,16.89%
143.67%,16.89%
165.88%,16.90%
136.26%,16.89%
146.66%,16.89%
176.42%,16.89%
181.29%,16.89%
118.24%,16.90%
122.49%,16.90%
133.37%,16.89%
185.89%,16.89%
180.85%,16.89%
278.06%,16.89%
187.32%,16.89%
191.92%,16.90%
177.36%,16.89%
101.74%,16.89%
25.06%,16.89%
