scorpio,143.88%,2.87%
postgres,38.91%,0.05%
kafka,47.32%,0.13%
nifi,495.66%,0.40%
scorpio,122.70%,2.87%
postgres,29.76%,0.05%
kafka,40.04%,0.13%
nifi,469.02%,0.40%
scorpio,128.39%,2.88%
postgres,32.46%,0.05%
kafka,135.44%,0.13%
nifi,438.22%,0.40%
scorpio,154.84%,2.88%
postgres,38.80%,0.05%
kafka,54.34%,0.13%
nifi,386.07%,0.40%
scorpio,145.89%,2.88%
postgres,34.17%,0.05%
kafka,54.18%,0.14%
nifi,586.40%,0.40%
scorpio,143.98%,2.89%
postgres,36.16%,0.05%
kafka,40.76%,0.14%
nifi,523.76%,0.40%
scorpio,149.93%,2.89%
postgres,30.89%,0.05%
kafka,36.59%,0.14%
nifi,388.55%,0.40%
scorpio,229.69%,2.89%
postgres,35.77%,0.05%
kafka,41.21%,0.14%
nifi,481.76%,0.40%
scorpio,150.25%,2.90%
postgres,37.83%,0.05%
kafka,40.69%,0.14%
nifi,412.09%,0.40%
scorpio,146.95%,2.91%
postgres,52.53%,0.05%
kafka,176.70%,0.14%
nifi,523.28%,0.40%
scorpio,150.82%,2.91%
postgres,151.59%,0.06%
kafka,40.94%,0.14%
nifi,400.43%,0.40%
scorpio,153.14%,2.92%
postgres,50.52%,0.07%
kafka,42.52%,0.14%
nifi,443.50%,0.40%
scorpio,117.81%,2.92%
postgres,38.37%,0.05%
kafka,44.31%,0.14%
nifi,545.98%,0.40%
scorpio,173.37%,2.93%
postgres,42.65%,0.05%
kafka,49.90%,0.14%
nifi,412.54%,0.40%
scorpio,140.74%,2.93%
postgres,35.81%,0.05%
kafka,41.86%,0.14%
nifi,409.30%,0.40%
scorpio,152.33%,2.93%
postgres,33.47%,0.05%
kafka,40.91%,0.14%
nifi,503.32%,0.40%
scorpio,155.94%,2.94%
postgres,32.75%,0.05%
kafka,47.47%,0.14%
nifi,439.39%,0.40%
scorpio,164.19%,2.94%
postgres,39.50%,0.05%
kafka,46.08%,0.14%
nifi,413.11%,0.40%
scorpio,96.33%,2.94%
postgres,20.22%,0.05%
kafka,37.86%,0.14%
nifi,465.26%,0.40%
scorpio,140.18%,2.95%
postgres,38.15%,0.05%
kafka,39.04%,0.14%
nifi,443.15%,0.40%
scorpio,140.93%,2.95%
postgres,36.61%,0.05%
kafka,39.04%,0.14%
nifi,537.96%,0.40%
scorpio,168.97%,2.95%
postgres,38.89%,0.06%
kafka,36.69%,0.14%
nifi,434.37%,0.40%
scorpio,148.05%,2.96%
postgres,28.96%,0.06%
kafka,44.38%,0.14%
nifi,395.34%,0.40%
scorpio,125.24%,2.96%
postgres,34.34%,0.06%
kafka,38.80%,0.14%
nifi,452.64%,0.40%
scorpio,98.50%,2.96%
postgres,15.26%,0.06%
kafka,24.68%,0.14%
nifi,924.05%,0.40%
scorpio,130.04%,2.97%
postgres,59.86%,0.06%
kafka,35.87%,0.14%
nifi,428.46%,0.40%
scorpio,150.27%,2.97%
postgres,34.68%,0.06%
kafka,41.15%,0.14%
nifi,358.35%,0.40%
scorpio,158.51%,2.98%
postgres,37.53%,0.06%
kafka,40.99%,0.14%
nifi,458.91%,0.40%
scorpio,144.07%,2.98%
postgres,30.58%,0.06%
kafka,37.35%,0.14%
nifi,516.95%,0.40%
scorpio,61.15%,2.98%
postgres,14.50%,0.06%
kafka,19.85%,0.14%
nifi,480.05%,0.40%
scorpio,128.76%,2.99%
postgres,29.62%,0.06%
kafka,36.43%,0.14%
nifi,529.65%,0.40%
