5.51%,16.86%
190.29%,16.87%
189.05%,16.87%
193.22%,16.86%
190.01%,16.87%
190.48%,16.87%
189.94%,16.87%
346.98%,16.87%
178.58%,16.87%
178.84%,16.87%
200.26%,16.87%
170.93%,16.87%
184.48%,16.87%
172.82%,16.87%
344.39%,16.87%
355.64%,16.88%
413.11%,16.88%
519.49%,16.88%
520.26%,16.88%
502.75%,16.88%
484.09%,16.88%
484.86%,16.88%
150.61%,16.87%
148.37%,16.88%
151.62%,16.87%
188.76%,16.88%
190.24%,16.87%
173.24%,16.87%
370.58%,16.87%
382.50%,16.88%
447.79%,16.88%
187.33%,16.87%
190.12%,16.87%
190.25%,16.88%
235.45%,16.88%
189.68%,16.88%
190.35%,16.88%
195.27%,16.88%
314.75%,16.88%
307.57%,16.88%
333.64%,16.88%
303.10%,16.88%
90.73%,16.87%
23.52%,16.87%
