scorpio,159.41%,3.12%
postgres,29.20%,0.06%
kafka,42.37%,0.15%
nifi,185.03%,0.41%
scorpio,188.35%,3.12%
postgres,33.82%,0.06%
kafka,43.31%,0.15%
nifi,186.36%,0.41%
scorpio,163.02%,3.12%
postgres,34.14%,0.06%
kafka,37.02%,0.15%
nifi,185.11%,0.41%
scorpio,181.16%,3.12%
postgres,30.51%,0.06%
kafka,42.51%,0.15%
nifi,180.50%,0.41%
scorpio,165.51%,3.12%
postgres,32.93%,0.06%
kafka,35.90%,0.15%
nifi,282.14%,0.41%
scorpio,169.18%,3.12%
postgres,31.63%,0.06%
kafka,37.79%,0.15%
nifi,180.42%,0.41%
scorpio,163.24%,3.12%
postgres,56.67%,0.06%
kafka,229.86%,0.15%
nifi,197.82%,0.41%
scorpio,147.07%,3.12%
postgres,75.84%,0.07%
kafka,35.92%,0.15%
nifi,240.10%,0.41%
scorpio,163.04%,3.12%
postgres,50.50%,0.07%
kafka,133.24%,0.15%
nifi,163.35%,0.41%
scorpio,189.68%,3.12%
postgres,32.70%,0.06%
kafka,47.09%,0.15%
nifi,316.30%,0.41%
scorpio,153.43%,3.12%
postgres,30.99%,0.06%
kafka,152.88%,0.15%
nifi,245.02%,0.41%
scorpio,177.28%,3.12%
postgres,33.34%,0.06%
kafka,41.51%,0.15%
nifi,183.43%,0.41%
scorpio,183.05%,3.12%
postgres,30.55%,0.06%
kafka,109.06%,0.15%
nifi,215.90%,0.41%
scorpio,169.48%,3.12%
postgres,37.23%,0.06%
kafka,42.22%,0.15%
nifi,231.40%,0.41%
scorpio,169.40%,3.12%
postgres,37.07%,0.06%
kafka,41.35%,0.15%
nifi,263.40%,0.41%
scorpio,172.61%,3.12%
postgres,33.31%,0.06%
kafka,35.08%,0.15%
nifi,246.81%,0.41%
scorpio,194.91%,3.12%
postgres,34.53%,0.06%
kafka,36.06%,0.15%
nifi,267.25%,0.41%
scorpio,181.88%,3.12%
postgres,40.62%,0.06%
kafka,44.79%,0.15%
nifi,325.06%,0.41%
scorpio,166.65%,3.12%
postgres,32.30%,0.06%
kafka,41.02%,0.15%
nifi,232.11%,0.41%
scorpio,170.47%,3.12%
postgres,35.67%,0.06%
kafka,47.98%,0.15%
nifi,227.54%,0.41%
scorpio,144.42%,3.12%
postgres,33.01%,0.06%
kafka,34.93%,0.15%
nifi,247.47%,0.41%
scorpio,172.19%,3.12%
postgres,34.01%,0.06%
kafka,38.77%,0.15%
nifi,216.98%,0.41%
scorpio,193.81%,3.12%
postgres,48.92%,0.06%
kafka,45.24%,0.15%
nifi,249.81%,0.41%
scorpio,194.30%,3.12%
postgres,42.42%,0.06%
kafka,60.31%,0.15%
nifi,324.09%,0.41%
scorpio,168.85%,3.12%
postgres,31.39%,0.06%
kafka,86.51%,0.15%
nifi,181.98%,0.41%
scorpio,173.11%,3.12%
postgres,29.00%,0.06%
kafka,36.77%,0.15%
nifi,238.36%,0.41%
scorpio,175.33%,3.12%
postgres,36.32%,0.06%
kafka,44.56%,0.15%
nifi,195.34%,0.41%
scorpio,179.70%,3.12%
postgres,31.97%,0.06%
kafka,41.68%,0.15%
nifi,211.06%,0.41%
scorpio,178.50%,3.12%
postgres,34.58%,0.06%
kafka,42.21%,0.15%
nifi,205.74%,0.41%
scorpio,171.49%,3.12%
postgres,33.91%,0.06%
kafka,47.12%,0.15%
nifi,197.14%,0.41%
scorpio,177.68%,3.12%
postgres,36.24%,0.06%
kafka,40.92%,0.15%
nifi,311.47%,0.41%
scorpio,263.59%,3.12%
postgres,30.08%,0.06%
kafka,32.67%,0.15%
nifi,207.93%,0.41%
