db-mongo,27.70%,0.01%
fiware-orion,109.22%,0.00%
nifi,433.74%,0.34%
db-mongo,24.81%,0.01%
fiware-orion,97.84%,0.00%
nifi,385.09%,0.34%
db-mongo,28.77%,0.01%
fiware-orion,94.03%,0.00%
nifi,408.88%,0.34%
db-mongo,30.47%,0.01%
fiware-orion,108.85%,0.00%
nifi,380.35%,0.35%
db-mongo,30.28%,0.01%
fiware-orion,103.36%,0.00%
nifi,459.57%,0.35%
db-mongo,28.91%,0.01%
fiware-orion,112.87%,0.00%
nifi,368.02%,0.35%
db-mongo,32.19%,0.01%
fiware-orion,111.07%,0.00%
nifi,384.46%,0.36%
db-mongo,28.90%,0.01%
fiware-orion,93.59%,0.00%
nifi,531.53%,0.36%
db-mongo,28.12%,0.01%
fiware-orion,97.78%,0.00%
nifi,594.61%,0.36%
db-mongo,29.13%,0.01%
fiware-orion,101.83%,0.00%
nifi,383.39%,0.36%
db-mongo,34.04%,0.01%
fiware-orion,107.20%,0.00%
nifi,404.32%,0.37%
db-mongo,26.92%,0.01%
fiware-orion,104.78%,0.00%
nifi,415.07%,0.37%
db-mongo,32.21%,0.01%
fiware-orion,108.41%,0.00%
nifi,469.16%,0.37%
db-mongo,30.35%,0.01%
fiware-orion,111.10%,0.00%
nifi,390.55%,0.37%
db-mongo,32.33%,0.01%
fiware-orion,110.82%,0.00%
nifi,385.07%,0.38%
db-mongo,23.47%,0.01%
fiware-orion,105.21%,0.00%
nifi,534.81%,0.38%
db-mongo,28.95%,0.01%
fiware-orion,118.84%,0.00%
nifi,474.94%,0.38%
db-mongo,39.87%,0.01%
fiware-orion,117.67%,0.00%
nifi,371.19%,0.38%
db-mongo,30.36%,0.01%
fiware-orion,114.29%,0.00%
nifi,383.85%,0.39%
db-mongo,33.20%,0.01%
fiware-orion,113.89%,0.00%
nifi,464.90%,0.39%
db-mongo,27.63%,0.01%
fiware-orion,108.95%,0.00%
nifi,437.04%,0.39%
db-mongo,30.27%,0.01%
fiware-orion,115.22%,0.00%
nifi,371.61%,0.39%
db-mongo,37.53%,0.01%
fiware-orion,105.83%,0.00%
nifi,398.09%,0.39%
db-mongo,27.33%,0.01%
fiware-orion,97.13%,0.00%
nifi,542.43%,0.39%
db-mongo,30.68%,0.01%
fiware-orion,118.18%,0.00%
nifi,407.13%,0.39%
db-mongo,31.29%,0.01%
fiware-orion,108.46%,0.00%
nifi,386.39%,0.39%
db-mongo,34.75%,0.01%
fiware-orion,113.99%,0.00%
nifi,359.59%,0.39%
db-mongo,31.93%,0.01%
fiware-orion,105.85%,0.00%
nifi,370.62%,0.39%
db-mongo,29.42%,0.01%
fiware-orion,112.60%,0.00%
nifi,450.61%,0.39%
db-mongo,30.65%,0.01%
fiware-orion,101.72%,0.00%
nifi,390.08%,0.39%
db-mongo,29.95%,0.01%
fiware-orion,120.52%,0.00%
nifi,598.85%,0.39%
db-mongo,29.74%,0.01%
fiware-orion,86.54%,0.00%
nifi,470.05%,0.39%
