3.49%,6.13%
6.28%,6.13%
15.05%,6.16%
6.28%,6.15%
9.09%,6.15%
16.07%,6.15%
7.20%,6.15%
8.90%,6.15%
5.29%,6.15%
8.03%,6.15%
10.15%,6.15%
8.19%,6.15%
6.64%,6.15%
7.26%,6.16%
11.89%,6.15%
6.39%,6.15%
7.03%,6.15%
6.63%,6.15%
7.58%,6.15%
7.63%,6.15%
7.16%,6.15%
7.81%,6.15%
10.63%,6.14%
7.41%,6.14%
22.68%,6.16%
8.92%,6.16%
7.02%,6.16%
7.57%,6.16%
12.34%,6.16%
7.97%,6.16%
6.64%,6.16%
9.13%,6.16%
9.40%,6.16%
6.79%,6.16%
8.01%,6.16%
8.11%,6.16%
10.31%,6.16%
7.39%,6.16%
105.89%,6.27%
6.31%,6.27%
7.22%,6.22%
8.43%,6.24%
6.76%,6.24%
6.20%,6.24%
